Year,Month,Net P&L,Trades,Return %
2021,2,29500,1,2.9499999999999997
2021,4,29500,1,2.9499999999999997
2021,5,-20500,1,-2.0500000000000003
2021,6,29500,1,2.9499999999999997
2021,7,-20500,1,-2.0500000000000003
2021,8,29500,1,2.9499999999999997
2021,9,29500,1,2.9499999999999997
2021,10,-20500,1,-2.0500000000000003
2021,11,29500,1,2.9499999999999997
2022,1,29500,1,2.9499999999999997
2022,2,29500,1,2.9499999999999997
2022,4,29500,1,2.9499999999999997
2022,5,-20500,1,-2.0500000000000003
2022,6,-20500,1,-2.0500000000000003
2022,7,-20500,1,-2.0500000000000003
2022,8,29500,1,2.9499999999999997
2022,11,29500,1,2.9499999999999997
2022,12,29500,1,2.9499999999999997
2023,2,29500,1,2.9499999999999997
2023,3,37000,1,3.6999999999999997
2023,4,37000,1,3.6999999999999997
2023,5,37000,1,3.6999999999999997
2023,6,-25500,1,-2.55
2023,7,37000,1,3.6999999999999997
2023,8,37000,1,3.6999999999999997
2023,9,37000,1,3.6999999999999997
2023,10,-25500,1,-2.55
2023,11,-25500,1,-2.55
2023,12,37000,1,3.6999999999999997
2024,1,37000,1,3.6999999999999997
2024,2,37000,1,3.6999999999999997
2024,3,44500,1,4.45
2024,4,44500,1,4.45
2024,5,-30500,1,-3.05
2024,6,44500,1,4.45
2024,8,44500,1,4.45
2024,9,44500,1,4.45
2024,10,-30500,1,-3.05
2024,12,44500,1,4.45
2025,1,44500,1,4.45
2025,2,52000,1,5.2
2025,3,-35500,1,-3.55
2025,4,-35500,1,-3.55
2025,5,44500,1,4.45
2025,6,-35500,1,-3.55
2025,8,-35500,1,-3.55
2025,9,44500,1,4.45
2025,10,52000,1,5.2
2025,11,-35500,1,-3.55
2025,12,-35500,1,-3.55
2026,1,44500,1,4.45
2026,2,-35500,1,-3.55
2026,3,-35500,1,-3.55
2026,4,44500,1,4.45
2026,5,52000,1,5.2
